;USUARIO;ESTA VERIFICADO;SEGUIDORES;TWEETS REALIZADOS;TWEET ACTUAL;REALIZADO EN;NUMERO DE RETWEET;NUMERO DE LIKES
0;Esandoval2014;False;213;20377;RT @angeldilop: “Hay que estallarlo, como cuando tu estallas controladamente un explosiv” Estas campañas dan miedo #EleccionesColombia2022;Twitter for Android;113;0
1;WilsonM98862663;False;1432;5099;RT @Bgadenuncia1: #ATENTOS, Drante el transcurso del dia, a traves de esta cuenta, publicaremos mas pruebas de como el hoy IMPUTADO engaño…;Twitter for Android;865;0
2;omarhmancera;False;1754;36070;RT @angeldilop: “Hay que estallarlo, como cuando tu estallas controladamente un explosiv” Estas campañas dan miedo #EleccionesColombia2022;Twitter for iPhone;113;0
3;Andrescinico;False;1238;61667;RT @JaimeCuartas: Este sera mi voto para la segunda vuelta de las elecciones presidenciales 2022  #eleccionescolombia  #eleccionescolombia2…;Twitter for Android;1463;0
4;birdmanciudad;False;318;23487;RT @JaimeCuartas: Este sera mi voto para la segunda vuelta de las elecciones presidenciales 2022  #eleccionescolombia  #eleccionescolombia2…;Twitter for Android;1463;0
5;castellanosjm_;False;121;19949;RT @mauriciofrancoa: #EleccionesColombia2022 nosotros no necesitamos un presidente, necesitamos es un psicologo, un guia espiritual un psiq…;Twitter for Android;1;0
6;BrianMo98651154;False;0;96;Mexico confirma su apoyo a las dictaduras de Americ En cambio Colombia reafirmo la democracia en primera vuelt #GraciasDisproel #EleccionesColombia2022 #DemocraciaPlena #TeRajasteAMLO #DisproelEsSeguro ;Twitter Web App;0;0
7;ElviruchaMaldon;False;794;127848;RT @angeldilop: “Hay que estallarlo, como cuando tu estallas controladamente un explosiv” Estas campañas dan miedo #EleccionesColombia2022;Twitter for iPhone;113;0
8;Don_senorH;False;1333;2042;RT @JaimeCuartas: Este sera mi voto para la segunda vuelta de las elecciones presidenciales 2022  #eleccionescolombia  #eleccionescolombia2…;Twitter for Android;1463;0
9;AnnAugustus4;False;0;109;Mexico confirma su apoyo a las dictaduras de Americ En cambio Colombia reafirmo la democracia en primera vuelt #GraciasDisproel #EleccionesColombia2022 #DemocraciaPlena #TeRajasteAMLO #DisproelEsSeguro ;Twitter Web App;0;0
10;HoyosYoiner;False;8973;7248;RT @JaimeCuartas: Este sera mi voto para la segunda vuelta de las elecciones presidenciales 2022  #eleccionescolombia  #eleccionescolombia2…;Twitter for Android;1463;0
11;HnasJung;False;266;2395;RT @angeldilop: “Hay que estallarlo, como cuando tu estallas controladamente un explosiv” Estas campañas dan miedo #EleccionesColombia2022;Twitter for Android;113;0
12;LexaSurez1;False;27;4160;RT @angeldilop: “Hay que estallarlo, como cuando tu estallas controladamente un explosiv” Estas campañas dan miedo #EleccionesColombia2022;Twitter for Android;113;0
13;lisbethbarrera;False;104;3418;RT @angeldilop: “Hay que estallarlo, como cuando tu estallas controladamente un explosiv” Estas campañas dan miedo #EleccionesColombia2022;Twitter for iPhone;113;0
14;AdelaideMax3;False;0;91;Mexico confirma su apoyo a las dictaduras de Americ En cambio Colombia reafirmo la democracia en primera vuelt #GraciasDisproel #EleccionesColombia2022 #DemocraciaPlena #TeRajasteAMLO #DisproelEsSeguro ;Twitter Web App;0;0
